Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE
0,0,0,-1.2,-4,122.6,,,D 0.7,,20.6,20.5,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.2,,,47.75,0.15,Display - IAS (1),0,45,,,
0.25,0,0,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,0,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,0,0,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.3,,,48.25,0.15,Display - IAS (1),0,45,,,
1.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.5,19.75,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.3,,,48.5,0.15,Display - IAS (1),0,45,,N52 18.21,
2.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
2.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.3,,,48.75,0.15,Display - IAS (1),0,45,E004 45.94,,
3.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
3.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,20.4,20.38,19.63,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.3,,,49.25,0.15,Display - IAS (1),0,45,,,
4.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,327,,,,,47.4,,,49.75,0.15,Display - IAS (1),0,45,,,
5.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.25,19.63,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.4,,,50.25,0.15,Display - IAS (1),0,45,,N52 18.21,
6.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
6.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.4,,,50.5,0.15,Display - IAS (1),0,45,E004 45.94,,
7.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
7.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,20.6,20.63,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.5,,,51,0.15,Display - IAS (1),0,45,,,
8.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.5,,,51.5,0.15,Display - IAS (1),0,45,,,
9.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.38,19.63,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.5,,,52,0.15,Display - IAS (1),0,45,,N52 18.21,
10.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
10.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.5,143,,52.25,0.15,Display - IAS (1),0,45,E004 45.94,,
11.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
11.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,19.8,19.88,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,52.5,0.15,Display - IAS (1),0,45,,,
12.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,52.75,0.15,Display - IAS (1),0,45,,,
13.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
