Time (CET)	Latitude	Longitude	Course	kts	mph	meters	Rate	Reporting Facility
Sat 08:35:22	33.9364	-118.4140	← 263°	194	223	8	 Level	 FlightAware ADS-B (KPOC)
Sat 08:35:38    Departure (LAX) @ Friday 23:35:38 PST			 FlightAware ADS-B (KSNA)
Sat 08:35:38	33.9348	-118.4311	← 264°	198	228	198	586 Climbing	 FlightAware ADS-B (KSNA)
Sat 08:35:54	33.9330	-118.4487	← 263°	210	242	320	343 Climbing	 FlightAware ADS-B (KLAX)
Sat 08:36:10	33.9310	-118.4677	← 263°	232	267	381	229 Climbing	 FlightAware ADS-B (KSNA)
Sat 08:36:26	33.9292	-118.4884	← 265°	252	290	442	361 Climbing	 FlightAware ADS-B (KTOA)
Sat 08:36:48	33.9269	-118.5166	← 265°	270	311	610	599 Climbing	 FlightAware ADS-B (KLGB)
Sat 08:37:08	33.9245	-118.5474	← 266°	276	318	861	972 Climbing	 FlightAware ADS-B (KLGB)
Sat 08:37:28	33.9216	-118.5820	← 264°	261	300	1,257	960 Climbing	 FlightAware ADS-B (KPOC)
Sat 08:37:48	33.9195	-118.6072	← 266°	261	300	1,501	777 Climbing	 FlightAware ADS-B (KCRQ)
Sat 08:38:18	33.9176	-118.6538	← 270°	267	307	1,905	762 Climbing	 FlightAware ADS-B (KTOA)
Sat 08:38:39	33.9175	-118.6852	← 270°	270	311	2,149	718 Climbing	 FlightAware ADS-B (KSMO)
Sat 08:39:07	33.9174	-118.7273	← 270°	272	313	2,492	710 Climbing	 FlightAware ADS-B (KSMO)
Sat 08:39:37	33.9174	-118.7752	← 270°	278	320	2,835	649 Climbing	 FlightAware ADS-B (KSMO)
Sat 08:39:57	33.9171	-118.8031	← 269°	281	323	3,033	516 Climbing	 FlightAware ADS-B (KNKX)
Sat 08:40:16	33.9168	-118.8337	← 270°	294	338	3,170	405 Climbing	 FlightAware ADS-B (KCMA)
Sat 08:40:32	33.9140	-118.8629	← 254°	301	346	3,269	343 Climbing	 FlightAware ADS-B (KEMT)
Sat 08:40:48	33.9040	-118.8845	↙ 230°	309	356	3,353	334 Climbing	 FlightAware ADS-B (KVNY)
Sat 08:41:24	33.8644	-118.9284	↙ 225°	331	381	3,559	297 Climbing	 FlightAware ADS-B (KSBA)
Sat 08:42:05	33.8170	-118.9843	↙ 224°	365	420	3,734	320 Climbing	 FlightAware ADS-B (KSMO)
Sat 08:42:24	33.7925	-119.0126	↙ 224°	371	427	3,879	550 Climbing	 FlightAware ADS-B (KCNO)
Sat 08:42:54	33.7555	-119.0544	↙ 224°	376	433	4,183	651 Climbing	 FlightAware ADS-B (KNTD)
Sat 08:43:16	33.7277	-119.0855	↙ 223°	376	433	4,442	603 Climbing	 FlightAware ADS-B (KTOA)
Sat 08:43:41	33.6954	-119.1210	↙ 224°	381	438	4,656	481 Climbing	 FlightAware ADS-B (KCNO)
Sat 08:44:14	33.6529	-119.1679	↙ 224°	389	448	4,907	490 Climbing	 FlightAware ADS-B (KSZP)
Sat 08:44:36	33.6240	-119.1997	↙ 223°	391	450	5,105	492 Climbing	 FlightAware ADS-B (KCNO)
Sat 08:45:06	33.5821	-119.2453	↙ 222°	399	459	5,334	450 Climbing	 FlightAware ADS-B (KSAN)
Sat 08:45:36	33.5417	-119.2893	↙ 223°	403	464	5,555	480 Climbing	 FlightAware ADS-B (KSBA)
Sat 08:46:06	33.4997	-119.3349	↙ 222°	406	467	5,814	560 Climbing	 FlightAware ADS-B (KLGB)
Sat 08:46:25	33.4741	-119.3630	↙ 223°	406	467	6,012	537 Climbing	 FlightAware ADS-B (KNTD)
Sat 08:46:46	33.4448	-119.3952	↙ 223°	408	470	6,172	509 Climbing	 FlightAware ADS-B (KLAX)
Sat 08:47:09	33.4124	-119.4304	↙ 223°	407	468	6,386	490 Climbing	 FlightAware ADS-B (KCRQ)
Sat 08:47:28	33.3853	-119.4602	↙ 224°	409	471	6,515	439 Climbing	 FlightAware ADS-B (KSBA)
Sat 08:47:58	33.3429	-119.5064	↙ 223°	413	475	6,744	427 Climbing	 FlightAware ADS-B (KWHP)
Sat 08:48:28	33.2992	-119.5537	↙ 222°	418	481	6,942	404 Climbing	 FlightAware ADS-B (KSNA)
Sat 08:48:58	33.2571	-119.5992	↙ 222°	421	484	7,148	396 Climbing	 FlightAware ADS-B (KLGB)
Sat 08:49:28	33.2144	-119.6456	↙ 223°	423	487	7,338	373 Climbing	 FlightAware ADS-B (KLPC)
Sat 08:49:58	33.1701	-119.6935	↙ 222°	427	491	7,521	366 Climbing	 FlightAware ADS-B (KSAN)
Sat 08:50:28	33.1252	-119.7418	↙ 222°	430	495	7,704	351 Climbing	 FlightAware ADS-B (KSMO)
Sat 08:50:58	33.0824	-119.7879	↙ 222°	433	498	7,871	335 Climbing	 FlightAware ADS-B (KLGB)
Sat 08:51:28	33.0366	-119.8374	↙ 223°	436	502	8,039	358 Climbing	 FlightAware ADS-B (KLPC)
Sat 08:51:58	32.9931	-119.8840	↙ 222°	435	501	8,230	351 Climbing	 FlightAware ADS-B (KSAN)
Sat 08:52:28	32.9468	-119.9336	↙ 222°	437	503	8,390	305 Climbing	 FlightAware ADS-B (KLGB)
Sat 08:52:58	32.9021	-119.9817	↙ 222°	439	505	8,534	267 Climbing	 FlightAware ADS-B (KSMO)
Sat 08:53:28	32.8569	-120.0300	↙ 222°	442	509	8,656	320 Climbing	 FlightAware ADS-B (KLGB)
Sat 08:53:58	32.8108	-120.0792	↙ 222°	439	505	8,854	415 Climbing	 FlightAware ADS-B (KCPM)
Sat 08:54:43	32.7436	-120.1509	↙ 222°	433	498	9,174	408 Climbing	 FlightAware ADS-B (KSNA)
Sat 08:55:03	32.7138	-120.1826	↙ 222°	431	496	9,296	350 Climbing	 FlightAware ADS-B (KSNA)
Sat 08:55:30	32.6739	-120.2250	↙ 223°	429	494	9,449	345 Climbing	 FlightAware ADS-B (KEMT)
Sat 08:56:00	32.6295	-120.2723	↙ 223°	427	491	9,624	323 Climbing	 FlightAware ADS-B (KLGB)
Sat 08:56:28	32.5878	-120.3166	↙ 222°	425	489	9,761	114 Climbing	 FlightAware ADS-B (KFUL)
Sat 08:57:04	32.5366	-120.3709	↙ 223°	420	483	9,746	-9 Descending	 FlightAware ADS-B (KCRQ)
Sat 08:57:22	32.5090	-120.4002	↙ 223°	422	486	9,754	 Level	 FlightAware ADS-B (KLGB)
Sat 08:58:04	32.4466	-120.4660	↙ 222°	421	484	9,746	-6 Descending	 FlightAware ADS-B (KSAN)
Sat 08:58:41	32.3945	-120.5210	↙ 223°	420	483	9,746	8 Climbing	 FlightAware ADS-B (KLPC)
Sat 08:59:01	32.3663	-120.5507	↙ 222°	422	486	9,754	10 Climbing	 FlightAware ADS-B (KCRQ)
Sat 08:59:25	32.3324	-120.5863	↙ 223°	422	486	9,754	 Level	 FlightAware ADS-B (KLPC)
Sat 08:59:48	32.2986	-120.6219	↙ 222°	425	489	9,754	-10 Descending	 FlightAware ADS-B (KNKX)
Sat 09:00:12	32.2613	-120.6611	↙ 223°	426	490	9,746	 Level	 FlightAware ADS-B (KSZP)
Sat 09:00:32	32.2345	-120.6892	↙ 223°	428	493	9,754	 Level	 FlightAware ADS-B (KCRQ)
Sat 09:01:03	32.1852	-120.7407	↙ 222°	426	490	9,746	 Level	 FlightAware ADS-B (KEMT)
Sat 09:01:38	32.1362	-120.7922	↙ 222°	424	488	9,754	 Level	 FlightAware ADS-B (KSAN)
Sat 09:02:09	32.0901	-120.8402	↙ 223°	420	483	9,746	 Level	 FlightAware ADS-B (KLPC)
Sat 09:02:27	32.0638	-120.8677	↙ 223°	420	483	9,754	 Level	 FlightAware ADS-B (KLPC)
Sat 09:02:57	32.0193	-120.9142	↙ 223°	422	486	9,746	-9 Descending	 FlightAware ADS-B (KSZP)
Sat 09:03:21	31.9829	-120.9521	↙ 222°	424	488	9,746	 Level	 FlightAware ADS-B (KSAN)
Sat 09:03:51	31.9391	-120.9976	↙ 222°	424	488	9,746	8 Climbing	 FlightAware ADS-B (KTSP)
Sat 09:04:21	31.8982	-121.0401	↙ 222°	424	488	9,754	 Level	 FlightAware ADS-B (KSNA)
