,age,salary,add_comp,overall_exp,job_exp,education,gender
0,25-34,51700.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1,25-34,62789.99999999999,4600.0,8 - 10 years,5-7 years,College degree,Non-binary
2,25-34,31960.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
3,25-34,58280.0,2820.0,8 - 10 years,5-7 years,College degree,Woman
4,25-34,56400.0,6580.0,8 - 10 years,5-7 years,College degree,Woman
5,25-34,58280.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Man
6,25-34,31020.0,1880.0,2 - 4 years,2 - 4 years,College degree,Woman
7,25-34,47000.0,0.0,5-7 years,5-7 years,Master's degree,Man
8,45-54,105280.0,9400.0,21 - 30 years,21 - 30 years,College degree,Woman
9,35-44,42300.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
10,25-34,44650.0,0.0,5-7 years,5-7 years,College degree,Woman
11,35-44,58280.0,0.0,11 - 20 years,5-7 years,PhD,Woman
12,35-44,94000.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
14,18-24,22080.0,0.0,1 year or less,1 year or less,College degree,Woman
15,35-44,27599.999999999996,575.0,11 - 20 years,5-7 years,College degree,Man
16,35-44,79900.0,4700.0,8 - 10 years,8 - 10 years,Some college,Woman
17,45-54,55460.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
18,35-44,92120.0,940.0,11 - 20 years,2 - 4 years,Master's degree,Woman
19,35-44,50760.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20,25-34,69560.0,0.0,5-7 years,5-7 years,Master's degree,Woman
21,35-44,47000.0,0.0,5-7 years,2 - 4 years,PhD,Woman
22,35-44,43470.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
23,35-44,90240.0,940.0,8 - 10 years,2 - 4 years,PhD,Woman
25,35-44,56400.0,0.0,11 - 20 years,1 year or less,Master's degree,Woman
26,25-34,58280.0,0.0,5-7 years,2 - 4 years,College degree,Man
27,35-44,45120.0,3760.0,11 - 20 years,2 - 4 years,College degree,Woman
28,35-44,131600.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
29,25-34,75200.0,0.0,5-7 years,5-7 years,College degree,Woman
30,25-34,36660.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
31,35-44,117500.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
32,25-34,216200.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
33,35-44,103400.0,14100.0,21 - 30 years,11 - 20 years,College degree,Woman
34,25-34,47000.0,0.0,5-7 years,2 - 4 years,College degree,Woman
35,35-44,63920.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
36,18-24,38540.0,94.0,2 - 4 years,2 - 4 years,College degree,Woman
37,25-34,71440.0,9400.0,5-7 years,2 - 4 years,College degree,Woman
38,35-44,73320.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
39,25-34,34780.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
40,45-54,94000.0,47000.0,21 - 30 years,21 - 30 years,College degree,Woman
41,35-44,40250.0,6899.999999999999,11 - 20 years,11 - 20 years,College degree,Woman
42,25-34,61100.0,0.0,5-7 years,5-7 years,College degree,Man
43,25-34,176250.0,4700.0,8 - 10 years,5-7 years,College degree,Woman
44,25-34,103400.0,18800.0,8 - 10 years,8 - 10 years,Master's degree,Man
45,25-34,62627.5,1410.0,8 - 10 years,8 - 10 years,College degree,Woman
46,35-44,135924.0,2350.0,5-7 years,5-7 years,PhD,Woman
47,35-44,188799.0,37600.0,11 - 20 years,11 - 20 years,College degree,Woman
48,25-34,82800.0,1035.0,11 - 20 years,8 - 10 years,College degree,Woman
49,25-34,67275.0,6899.999999999999,8 - 10 years,8 - 10 years,College degree,Woman
50,35-44,90240.0,0.0,5-7 years,5-7 years,PhD,Woman
51,25-34,49820.0,940.0,5-7 years,1 year or less,Master's degree,Woman
52,25-34,89300.0,9400.0,8 - 10 years,8 - 10 years,College degree,Woman
53,35-44,67680.0,2820.0,11 - 20 years,5-7 years,Master's degree,Woman
54,35-44,35880.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
55,35-44,99640.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
56,25-34,108100.0,0.0,5-7 years,5-7 years,PhD,Woman
57,25-34,94470.0,2820.0,11 - 20 years,5-7 years,College degree,Woman
58,25-34,31208.0,0.0,8 - 10 years,2 - 4 years,Some college,Woman
59,35-44,59799.99999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
60,25-34,48880.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
61,25-34,54509.99999999999,0.0,8 - 10 years,5-7 years,Master's degree,Woman
62,65 or over,97760.0,23500.0,41 years or more,21 - 30 years,College degree,Man
63,25-34,51749.99999999999,0.0,5-7 years,2 - 4 years,College degree,Woman
64,18-24,48880.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
65,25-34,65800.0,0.0,5-7 years,2 - 4 years,Master's degree,Non-binary
66,25-34,78960.0,7896.0,5-7 years,5-7 years,Master's degree,Woman
67,35-44,49820.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
68,25-34,31960.0,1880.0,5-7 years,5-7 years,College degree,Woman
69,25-34,35720.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
70,25-34,81780.0,0.0,5-7 years,2 - 4 years,Master's degree,Man
71,35-44,114680.0,3384.0,11 - 20 years,11 - 20 years,Master's degree,Woman
72,25-34,51749.99999999999,2300.0,5-7 years,2 - 4 years,Master's degree,Woman
73,25-34,42300.0,0.0,5-7 years,5-7 years,Some college,Woman
74,35-44,82720.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
75,35-44,66740.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
76,45-54,66740.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
77,35-44,70500.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
78,35-44,75200.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
79,35-44,117500.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
80,35-44,61100.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
81,45-54,41400.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
82,25-34,51700.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
83,25-34,84600.0,940.0,11 - 20 years,8 - 10 years,College degree,Woman
84,35-44,98700.0,12220.0,8 - 10 years,5-7 years,College degree,Woman
85,35-44,41400.0,0.0,11 - 20 years,11 - 20 years,High School,Man
86,35-44,61100.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
87,25-34,79900.0,7990.0,5-7 years,2 - 4 years,Master's degree,Woman
88,25-34,37148.799999999996,0.0,8 - 10 years,2 - 4 years,Some college,Woman
89,45-54,79350.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Man
90,25-34,71440.0,0.0,8 - 10 years,5-7 years,College degree,Woman
91,55-64,169200.0,56400.0,31 - 40 years,11 - 20 years,Master's degree,Woman
92,25-34,84600.0,0.0,5-7 years,5-7 years,Master's degree,Woman
93,25-34,22195.0,0.0,5-7 years,5-7 years,Some college,Man
94,55-64,61100.0,4700.0,31 - 40 years,11 - 20 years,Master's degree,Woman
95,45-54,92276.04,0.0,21 - 30 years,21 - 30 years,College degree,Man
96,25-34,59690.0,0.0,5-7 years,1 year or less,Master's degree,Woman
97,55-64,54.519999999999996,0.0,21 - 30 years,8 - 10 years,Master's degree,Woman
98,25-34,44838.0,1880.0,5-7 years,2 - 4 years,College degree,Woman
99,55-64,81780.0,7520.0,31 - 40 years,31 - 40 years,Some college,Man
100,35-44,33120.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
101,25-34,37256.9,286.7,2 - 4 years,2 - 4 years,College degree,Woman
102,25-34,49820.0,0.0,8 - 10 years,5-7 years,College degree,Man
103,45-54,44419.7,0.0,31 - 40 years,21 - 30 years,Some college,Woman
104,35-44,184240.0,9400.0,11 - 20 years,11 - 20 years,College degree,Man
105,45-54,32299.339999999997,0.0,21 - 30 years,11 - 20 years,College degree,Woman
106,45-54,141000.0,18800.0,21 - 30 years,21 - 30 years,College degree,Woman
107,25-34,70500.0,0.0,5-7 years,5-7 years,College degree,Woman
108,35-44,18800.0,0.0,5-7 years,2 - 4 years,College degree,Woman
109,25-34,100786.79999999999,15118.019999999999,8 - 10 years,5-7 years,Master's degree,Woman
110,35-44,53819.99999999999,0.0,11 - 20 years,5-7 years,College degree,Woman
111,45-54,89300.0,9400.0,21 - 30 years,11 - 20 years,PhD,Man
112,45-54,39480.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
113,25-34,94000.0,4700.0,5-7 years,5-7 years,Master's degree,Woman
114,25-34,57499.99999999999,0.0,5-7 years,2 - 4 years,High School,Man
115,35-44,111860.0,2350.0,11 - 20 years,8 - 10 years,College degree,Woman
116,45-54,75900.0,5750.0,21 - 30 years,21 - 30 years,Master's degree,Woman
117,35-44,60000.0,3000.0,11 - 20 years,11 - 20 years,Master's degree,Woman
118,25-34,70500.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
119,35-44,136300.0,14100.0,2 - 4 years,2 - 4 years,PhD,Woman
120,25-34,65550.0,6899.999999999999,2 - 4 years,2 - 4 years,College degree,Woman
121,25-34,45120.0,1880.0,5-7 years,5-7 years,Master's degree,Woman
122,45-54,70500.0,9400.0,21 - 30 years,21 - 30 years,College degree,Woman
123,35-44,39480.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
124,35-44,50760.0,94.0,21 - 30 years,8 - 10 years,Master's degree,Woman
125,35-44,63479.99999999999,0.0,5-7 years,5-7 years,PhD,Woman
126,45-54,58500.49999999999,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
127,55-64,56400.0,470.0,31 - 40 years,31 - 40 years,College degree,Woman
128,55-64,95410.0,0.0,31 - 40 years,21 - 30 years,College degree,Woman
129,25-34,34670.02,141.0,2 - 4 years,2 - 4 years,College degree,Woman
130,25-34,79900.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
131,25-34,58280.0,0.0,5-7 years,5-7 years,College degree,Woman
132,35-44,122200.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
133,55-64,51700.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
134,25-34,55474.1,0.0,8 - 10 years,8 - 10 years,College degree,Woman
135,25-34,66740.0,2820.0,5-7 years,5-7 years,College degree,Woman
136,45-54,49820.0,0.0,21 - 30 years,8 - 10 years,Master's degree,Woman
137,25-34,59220.0,0.0,5-7 years,5-7 years,Master's degree,Woman
138,35-44,89300.0,4700.0,21 - 30 years,21 - 30 years,College degree,Woman
139,35-44,51000.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Man
140,35-44,32900.0,2820.0,11 - 20 years,11 - 20 years,Some college,Woman
141,18-24,31283.199999999997,470.0,5-7 years,2 - 4 years,College degree,Non-binary
142,35-44,52640.0,2350.0,11 - 20 years,8 - 10 years,Some college,Woman
143,35-44,79900.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
144,35-44,58280.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
145,25-34,69560.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Non-binary
146,25-34,59220.0,940.0,5-7 years,2 - 4 years,College degree,Woman
147,25-34,51749.99999999999,11500.0,11 - 20 years,8 - 10 years,College degree,Woman
148,25-34,18000.0,0.0,8 - 10 years,5-7 years,College degree,Woman
149,35-44,80840.0,5640.0,11 - 20 years,8 - 10 years,College degree,Woman
150,18-24,21850.0,0.0,2 - 4 years,1 year or less,Master's degree,Man
151,35-44,39480.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
152,55-64,107160.0,28200.0,21 - 30 years,8 - 10 years,College degree,Man
153,45-54,68620.0,0.0,31 - 40 years,31 - 40 years,High School,Woman
154,35-44,62099.99999999999,0.0,11 - 20 years,11 - 20 years,College degree,Woman
155,45-54,94000.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
156,25-34,31049.999999999996,0.0,11 - 20 years,5-7 years,College degree,Woman
157,18-24,56521.259999999995,2820.0,2 - 4 years,1 year or less,Master's degree,Woman
158,45-54,126900.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
159,25-34,122200.0,0.0,11 - 20 years,5-7 years,College degree,Woman
160,25-34,24440.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
161,25-34,56400.0,0.0,5-7 years,5-7 years,Master's degree,Woman
162,35-44,34780.0,0.0,11 - 20 years,5-7 years,College degree,Woman
163,25-34,79900.0,2820.0,5-7 years,5-7 years,College degree,Woman
164,35-44,42300.0,18800.0,11 - 20 years,11 - 20 years,College degree,Woman
165,25-34,86480.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
166,25-34,35.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
167,25-34,61100.0,3760.0,5-7 years,2 - 4 years,College degree,Man
168,35-44,32900.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
169,25-34,69560.0,940.0,8 - 10 years,5-7 years,College degree,Woman
170,25-34,96350.0,18800.0,5-7 years,5-7 years,College degree,Man
172,35-44,65800.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
173,45-54,131600.0,4700.0,21 - 30 years,11 - 20 years,Some college,Woman
174,35-44,54520.0,3760.0,11 - 20 years,8 - 10 years,Master's degree,Woman
175,35-44,376000.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
